Name,Price,Availability,Rating,URL,Reviews,Details
N/A,"₦ 220,442",Available,N/A,https://www.jumia.com.ng/ace-elec-14.1-intelrpentiumr-cpu-n3700-16gb128gb-silver-369784891.html,N/A,"Intel(R)Pentium(R) CPU N3700 @ 1.60GHz 1601 ACE Laptop is equipped with   Intel(R)Pentium(R) CPU N3700 @ 1.60GHz 1601 processor, Quad-core, Quad-thread, Base Frequency 2.0GHz, Turbo up to 2.4GHz, efficiently running your programs as well as loading your tasks, running smoothly and smoothly, it's an excellent product. 16GB LPDDR4 + 128GB SSD + 64GB TF Card Expansion ACE N141 laptop s come with a huge amount of RAM and storage space to fulfill your needs. The lap top comes with 16GB LPDDR4 RAM and 128GB storage, supports TF card expansion up to 64GB, realizing massive space. 14.1-inch Full HD IPS Display Experience Smoother Visuals- Get ready for a whole new level of 93% screen-to-body ratio visual fluidity with our device's impressive refresh rate. Whether you're gaming, scrolling through content, or watching videos, the 14.1 inch IPS screen responds with incredible smoothness, making every interaction a pleasure. 38000mWH Battery This laptop computer has a 38000mWh large capacity battery, which lasts for many hours of comprehensive usage. Further, with the help of AC dual band WiFi, Bluetooth 4.2, standard USB3.0 and Type-C for easy connection to various peripherals and high-speed wireless transmission. Also, HDMI output for high definition audio, video. Multiple Ports Notebook computer has built-in dual speakers, dual-band Wi- Fi (2.4G/5G) and Bluetooth 4.2 for quick access to the network and connected devices. Computer is equipped with multiple ports: Mini HDMI x1, Type-C connector, USB 3.0 connector x1, USB 2.0 connector x1, 3.5mm headphone jack x1, Micro TF slot x1, DC 3.5 MM charging connector x1, which meets the needs of accessing multiple devices at the same time and enjoying the network world. 4 Core Powerful CPU ACE Laptop with the Intel Celeron powerful processor  Intel(R)Pentium(R) CPU N3700 @ 1.60GHz 1601 and 256GB Storage built-in, so experience smooth multitasking and responsive performance, whether you're working on documents, streaming videos, or running applications. Besides, it equipped with a separate SSD and TF card expansion slot that supports 1TB M.2 SSD and 64GB TF expansion. Enhanced Productivity and Communication The integrated 0.3MP camera, four stereo speakers and built-in microphones allow you to participate in video , virtual meetings, or stay connected with friends and family through video calls with ease. FOQ: 1.About the Warranty Period and After-sales Service. ACE laptops come with one-year Warranty. If you have any problem with the products, please feel free to con-tact with us, we are always in here to provide help! 2.What is the characteristics of our computer? All ACE laptops are lightweight, thin, and portable. And the product configuration can meet daily work and online education. 3.How to con-tact us? Find your order and click ""Get Product Support"". We will assist you within 24 hours. 4.About the Warranty Period and After-sales Service. ACE laptops come with one-year Warranty.If you have any problem with the products, please feel free to con-tact with us, we are always in here to provide help! 5.What is the characteristics of our computer? All ACE laptops are lightweight, thin, and portable. And the product configuration can meet daily work and online education. 6.How to con-tact us? Find your order and click ""Get Product Support"". We will assist you within 24 hours. Thanks for your support on us!"
N/A,"₦ 560,000",Available,N/A,https://www.jumia.com.ng/hp-notebook-348-g5-intel-core-i5-16gb-ram1tb-ssdbacklit-keyboard-windows-11-pro-bag-374138886.html,N/A,"NOTEBOOK 348 G5 - INTEL CORE I5 - BACKLIT KEYBOARD- FULL HD DISPLAY Product Type: NOTEBOOK 348 G5 Operating System: WINDOWS 11 PRO CPU: Intel Core i5-8350U G5 Max Turbo Speed: UP TO 4.2 GHz With Intel Turbo boost system Number of Cores: Quad-Core Cache: L3 - 12MB Features (Processor / Chipset): Hyper-Threading Technology, Intel Turbo Boost Technology 2.0, Intel Smart Cache Features (Display): 55% NTSC colour gamut, Full HD ultra wide-viewing angle (UWVA) eDP anti-glare Features (Input): Spill-resistant, multi-touch clickpad, gesture function, precision touchpad, glass clickpad, DuraKeys Features (Communications): Miracast, dual stream (2x2), MU-MIMO RAM: 16GB Max RAM Supported: 64 GB Technology (Memory): DDR4 SDRAM Technology (Battery): 4-cell lithium polymer Speed: 5200 MHz Rated Speed: 5200 MHz Form Factor: SO-DIMM 260-pin Slots Qty: 2 Empty Slots: 1 Main Storage: 1TB SSD M.2 2280 PCIe 3.0 x4 - NVM Express (NVMe) Type (Display): 14"" - IPS Type (Input): Keyboard, pointing stick, ClickPad LCD Backlight Technology: WLED backlight Resolution: 1920 x 1080 (Full HD) V-Sync Rate at Max Res.: 60 Hz Widescreen: Image Brightness: 250 cd/m² Keyboard Name: Premium Collaboration Keyboard Graphics Processor: Intel Iris Xe Graphics Memory Allocation Technology: Shared Video Memory (UMA) Camera: Yes - HD Video Resolutions: 720p Sound: Stereo speakers, 3 multi-array microphone Audio Features: Bang & Olufsen Audio Keyboard Backlight: YES Keyboard Layout: ENGLISH Wireless: Bluetooth 5.0, 802.11a/b/g/n/ac/ax Bluetooth Class: Class 2 Wireless Controller: Intel Wi-Fi 6 AX 201 - PCI Express Mini Card (M.2) Compliant Standards (Communications): IEEE 802.1x, IEEE 802.11i, Wi-Fi CERTIFIED Output: 45 Watt, 19.5 V"
N/A,"₦ 560,000",Available,N/A,https://www.jumia.com.ng/hp-notebook-348-g5-intel-core-i5-16gb-ram1tb-ssdbacklit-keyboard-windows-11-pro-bag-374138826.html,N/A,"NOTEBOOK 348 G5 - INTEL CORE I5 - BACKLIT KEYBOARD- FULL HD DISPLAY Product Type: NOTEBOOK 348 G5 Operating System: WINDOWS 11 PRO CPU: Intel Core i5-8350U G5 Max Turbo Speed: UP TO 4.2 GHz With Intel Turbo boost system Number of Cores: Quad-Core Cache: L3 - 12MB Features (Processor / Chipset): Hyper-Threading Technology, Intel Turbo Boost Technology 2.0, Intel Smart Cache Features (Display): 55% NTSC colour gamut, Full HD ultra wide-viewing angle (UWVA) eDP anti-glare Features (Input): Spill-resistant, multi-touch clickpad, gesture function, precision touchpad, glass clickpad, DuraKeys Features (Communications): Miracast, dual stream (2x2), MU-MIMO RAM: 16GB Max RAM Supported: 64 GB Technology (Memory): DDR4 SDRAM Technology (Battery): 4-cell lithium polymer Speed: 5200 MHz Rated Speed: 5200 MHz Form Factor: SO-DIMM 260-pin Slots Qty: 2 Empty Slots: 1 Main Storage: 1TB SSD M.2 2280 PCIe 3.0 x4 - NVM Express (NVMe) Type (Display): 14"" - IPS Type (Input): Keyboard, pointing stick, ClickPad LCD Backlight Technology: WLED backlight Resolution: 1920 x 1080 (Full HD) V-Sync Rate at Max Res.: 60 Hz Widescreen: Image Brightness: 250 cd/m² Keyboard Name: Premium Collaboration Keyboard Graphics Processor: Intel Iris Xe Graphics Memory Allocation Technology: Shared Video Memory (UMA) Camera: Yes - HD Video Resolutions: 720p Sound: Stereo speakers, 3 multi-array microphone Audio Features: Bang & Olufsen Audio Keyboard Backlight: YES Keyboard Layout: ENGLISH Wireless: Bluetooth 5.0, 802.11a/b/g/n/ac/ax Bluetooth Class: Class 2 Wireless Controller: Intel Wi-Fi 6 AX 201 - PCI Express Mini Card (M.2) Compliant Standards (Communications): IEEE 802.1x, IEEE 802.11i, Wi-Fi CERTIFIED Output: 45 Watt, 19.5 V"
N/A,"₦ 520,000",Available,N/A,https://www.jumia.com.ng/hp-elitebook-845-g7-ryzen-5-pro-4650uamd-2.3-16gb-ram512gb-ssd-win-11-probag-374138757.html,N/A,"Product Type: HP EliteBook 845 G7 Operating System: WINDOWS 11 PRO CPU: Ryzen 5 Pro 4650U/AMD 2.3 Max Turbo Speed: UP TO 4.2 GHz With Intel Turbo boost system Number of Cores: Quad-Core Cache: L3 - 12MB Features (Processor / Chipset): Hyper-Threading Technology, Intel Turbo Boost Technology 2.0, Intel Smart Cache Features (Display): 55% NTSC colour gamut, Full HD ultra wide-viewing angle (UWVA) eDP anti-glare Features (Input): Spill-resistant, multi-touch clickpad, gesture function, precision touchpad, glass clickpad, DuraKeys Features (Communications): Miracast, dual stream (2x2), MU-MIMO Features (Miscellaneous): Automatic DriveLock, BIOS Absolute Persistence,  DriveLock, Power On Authentication, Pre-boot Authentication, Sure Click,Sure Sense, Secure Erase, Sure Start Gen 6, Sure Run Gen 3, Sure Recover Gen 3, Sure Admin, BIOSphere RAM: 16GB Max RAM Supported: 64 GB Technology (Memory): DDR4 SDRAM Technology (Battery): 4-cell lithium polymer Speed: 5200 MHz Rated Speed: 5200 MHz Form Factor: SO-DIMM 260-pin Slots Qty: 2 Empty Slots: 1 Main Storage: 512GB SSD M.2 2280 PCIe 3.0 x4 - NVM Express (NVMe) Type (Display): 14"" - IPS Type (Input): Keyboard, pointing stick, ClickPad LCD Backlight Technology: WLED backlight Resolution: 1920 x 1080 (Full HD) V-Sync Rate at Max Res.: 60 Hz Widescreen: Image Brightness: 250 cd/m² Keyboard Name: Premium Collaboration Keyboard Graphics Processor: AMD Memory Allocation Technology: Shared Video Memory (UMA) Camera: Yes - HD Video Resolutions: 720p Sound: Stereo speakers, 3 multi-array microphone Audio Features: Bang & Olufsen Audio Keyboard Backlight: YES Keyboard Layout: Bulgarian Wireless: Bluetooth 5.0, 802.11a/b/g/n/ac/ax Bluetooth Class: Class 2 Wireless Controller: Intel Wi-Fi 6 AX 201 - PCI Express Mini Card (M.2) Compliant Standards (Communications): IEEE 802.1x, IEEE 802.11i, Wi-Fi CERTIFIED Compliant Standards (Miscellaneous): CSA, UL, VCCI, BSMI, GOST, SABS, CCC, FCC, A-Tick, Common Criteria EAL4+, KC, CIT, low halogen, ICCP, BNCI Capacity: 53 Wh Run Time: Up to 14.5 hours Input: AC 115/230 V (50/60 Hz) Output: 45 Watt, 19.5 V Case Material: Aluminum Integrated Options: Tile module, hall sensor, tamper sensor Security: Firmware Trusted Platform Module (TPM 2.0) Security, fingerprint reader, smart card reader Theft/Intrusion Protection: Security lock slot (cable lock sold separately), padlock loop Security Slot Type: Kensington nano security slot Included Accessories: HP Smart AC Adapter Localization: Language: Bulgarian / region: Bulgaria Dimensions (WxDxH): 32.35 cm x 21.47 cm x 1.78 cm Weight: 1.35 kg Service & Support: Limited гаранция - parts and labour - 3 години"
N/A,"₦ 560,000",Available,N/A,https://www.jumia.com.ng/hp-notebook-348-g5-intel-core-i5-16gb-ram1tb-ssdbacklit-keyboard-windows-11-pro-bag-374138725.html,N/A,"NOTEBOOK 348 G5 - INTEL CORE I5 - BACKLIT KEYBOARD- FULL HD DISPLAY Product Type: NOTEBOOK 348 G5 Operating System: WINDOWS 11 PRO CPU: Intel Core i5-8350U G5 Max Turbo Speed: UP TO 4.2 GHz With Intel Turbo boost system Number of Cores: Quad-Core Cache: L3 - 12MB Features (Processor / Chipset): Hyper-Threading Technology, Intel Turbo Boost Technology 2.0, Intel Smart Cache Features (Display): 55% NTSC colour gamut, Full HD ultra wide-viewing angle (UWVA) eDP anti-glare Features (Input): Spill-resistant, multi-touch clickpad, gesture function, precision touchpad, glass clickpad, DuraKeys Features (Communications): Miracast, dual stream (2x2), MU-MIMO RAM: 16GB Max RAM Supported: 64 GB Technology (Memory): DDR4 SDRAM Technology (Battery): 4-cell lithium polymer Speed: 5200 MHz Rated Speed: 5200 MHz Form Factor: SO-DIMM 260-pin Slots Qty: 2 Empty Slots: 1 Main Storage: 1TB SSD M.2 2280 PCIe 3.0 x4 - NVM Express (NVMe) Type (Display): 14"" - IPS Type (Input): Keyboard, pointing stick, ClickPad LCD Backlight Technology: WLED backlight Resolution: 1920 x 1080 (Full HD) V-Sync Rate at Max Res.: 60 Hz Widescreen: Image Brightness: 250 cd/m² Keyboard Name: Premium Collaboration Keyboard Graphics Processor: Intel Iris Xe Graphics Memory Allocation Technology: Shared Video Memory (UMA) Camera: Yes - HD Video Resolutions: 720p Sound: Stereo speakers, 3 multi-array microphone Audio Features: Bang & Olufsen Audio Keyboard Backlight: YES Keyboard Layout: ENGLISH Wireless: Bluetooth 5.0, 802.11a/b/g/n/ac/ax Bluetooth Class: Class 2 Wireless Controller: Intel Wi-Fi 6 AX 201 - PCI Express Mini Card (M.2) Compliant Standards (Communications): IEEE 802.1x, IEEE 802.11i, Wi-Fi CERTIFIED Output: 45 Watt, 19.5 V"
N/A,"₦ 560,000",Available,N/A,https://www.jumia.com.ng/hp-notebook-348-g5-intel-core-i5-16gb-ram1tb-ssdbacklit-keyboard-windows-11-pro-bag-374138698.html,N/A,"NOTEBOOK 348 G5 - INTEL CORE I5 - BACKLIT KEYBOARD- FULL HD DISPLAY Product Type: NOTEBOOK 348 G5 Operating System: WINDOWS 11 PRO CPU: Intel Core i5-8350U G5 Max Turbo Speed: UP TO 4.2 GHz With Intel Turbo boost system Number of Cores: Quad-Core Cache: L3 - 12MB Features (Processor / Chipset): Hyper-Threading Technology, Intel Turbo Boost Technology 2.0, Intel Smart Cache Features (Display): 55% NTSC colour gamut, Full HD ultra wide-viewing angle (UWVA) eDP anti-glare Features (Input): Spill-resistant, multi-touch clickpad, gesture function, precision touchpad, glass clickpad, DuraKeys Features (Communications): Miracast, dual stream (2x2), MU-MIMO RAM: 16GB Max RAM Supported: 64 GB Technology (Memory): DDR4 SDRAM Technology (Battery): 4-cell lithium polymer Speed: 5200 MHz Rated Speed: 5200 MHz Form Factor: SO-DIMM 260-pin Slots Qty: 2 Empty Slots: 1 Main Storage: 1TB SSD M.2 2280 PCIe 3.0 x4 - NVM Express (NVMe) Type (Display): 14"" - IPS Type (Input): Keyboard, pointing stick, ClickPad LCD Backlight Technology: WLED backlight Resolution: 1920 x 1080 (Full HD) V-Sync Rate at Max Res.: 60 Hz Widescreen: Image Brightness: 250 cd/m² Keyboard Name: Premium Collaboration Keyboard Graphics Processor: Intel Iris Xe Graphics Memory Allocation Technology: Shared Video Memory (UMA) Camera: Yes - HD Video Resolutions: 720p Sound: Stereo speakers, 3 multi-array microphone Audio Features: Bang & Olufsen Audio Keyboard Backlight: YES Keyboard Layout: ENGLISH Wireless: Bluetooth 5.0, 802.11a/b/g/n/ac/ax Bluetooth Class: Class 2 Wireless Controller: Intel Wi-Fi 6 AX 201 - PCI Express Mini Card (M.2) Compliant Standards (Communications): IEEE 802.1x, IEEE 802.11i, Wi-Fi CERTIFIED Output: 45 Watt, 19.5 V"
N/A,"₦ 560,000",Available,N/A,https://www.jumia.com.ng/hp-notebook-348-g5-intel-core-i5-16gb-ram1tb-ssdbacklit-keyboard-windows-11-pro-bag-374138644.html,N/A,"NOTEBOOK 348 G5 - INTEL CORE I5 - BACKLIT KEYBOARD- FULL HD DISPLAY Product Type: NOTEBOOK 348 G5 Operating System: WINDOWS 11 PRO CPU: Intel Core i5-8350U G5 Max Turbo Speed: UP TO 4.2 GHz With Intel Turbo boost system Number of Cores: Quad-Core Cache: L3 - 12MB Features (Processor / Chipset): Hyper-Threading Technology, Intel Turbo Boost Technology 2.0, Intel Smart Cache Features (Display): 55% NTSC colour gamut, Full HD ultra wide-viewing angle (UWVA) eDP anti-glare Features (Input): Spill-resistant, multi-touch clickpad, gesture function, precision touchpad, glass clickpad, DuraKeys Features (Communications): Miracast, dual stream (2x2), MU-MIMO RAM: 16GB Max RAM Supported: 64 GB Technology (Memory): DDR4 SDRAM Technology (Battery): 4-cell lithium polymer Speed: 5200 MHz Rated Speed: 5200 MHz Form Factor: SO-DIMM 260-pin Slots Qty: 2 Empty Slots: 1 Main Storage: 1TB SSD M.2 2280 PCIe 3.0 x4 - NVM Express (NVMe) Type (Display): 14"" - IPS Type (Input): Keyboard, pointing stick, ClickPad LCD Backlight Technology: WLED backlight Resolution: 1920 x 1080 (Full HD) V-Sync Rate at Max Res.: 60 Hz Widescreen: Image Brightness: 250 cd/m² Keyboard Name: Premium Collaboration Keyboard Graphics Processor: Intel Iris Xe Graphics Memory Allocation Technology: Shared Video Memory (UMA) Camera: Yes - HD Video Resolutions: 720p Sound: Stereo speakers, 3 multi-array microphone Audio Features: Bang & Olufsen Audio Keyboard Backlight: YES Keyboard Layout: ENGLISH Wireless: Bluetooth 5.0, 802.11a/b/g/n/ac/ax Bluetooth Class: Class 2 Wireless Controller: Intel Wi-Fi 6 AX 201 - PCI Express Mini Card (M.2) Compliant Standards (Communications): IEEE 802.1x, IEEE 802.11i, Wi-Fi CERTIFIED Output: 45 Watt, 19.5 V"
Ace Elec 14.1'' Intel(R)Pentium(R) CPU N3700 16GB+128GB - Silver,"₦ 220,442",Available,3.9 out of 5,https://www.jumia.com.ng/ace-elec-14.1-intelrpentiumr-cpu-n3700-16gb128gb-silver-369784891.html,N/A,"Intel(R)Pentium(R) CPU N3700 @ 1.60GHz 1601 ACE Laptop is equipped with   Intel(R)Pentium(R) CPU N3700 @ 1.60GHz 1601 processor, Quad-core, Quad-thread, Base Frequency 2.0GHz, Turbo up to 2.4GHz, efficiently running your programs as well as loading your tasks, running smoothly and smoothly, it's an excellent product. 16GB LPDDR4 + 128GB SSD + 64GB TF Card Expansion ACE N141 laptop s come with a huge amount of RAM and storage space to fulfill your needs. The lap top comes with 16GB LPDDR4 RAM and 128GB storage, supports TF card expansion up to 64GB, realizing massive space. 14.1-inch Full HD IPS Display Experience Smoother Visuals- Get ready for a whole new level of 93% screen-to-body ratio visual fluidity with our device's impressive refresh rate. Whether you're gaming, scrolling through content, or watching videos, the 14.1 inch IPS screen responds with incredible smoothness, making every interaction a pleasure. 38000mWH Battery This laptop computer has a 38000mWh large capacity battery, which lasts for many hours of comprehensive usage. Further, with the help of AC dual band WiFi, Bluetooth 4.2, standard USB3.0 and Type-C for easy connection to various peripherals and high-speed wireless transmission. Also, HDMI output for high definition audio, video. Multiple Ports Notebook computer has built-in dual speakers, dual-band Wi- Fi (2.4G/5G) and Bluetooth 4.2 for quick access to the network and connected devices. Computer is equipped with multiple ports: Mini HDMI x1, Type-C connector, USB 3.0 connector x1, USB 2.0 connector x1, 3.5mm headphone jack x1, Micro TF slot x1, DC 3.5 MM charging connector x1, which meets the needs of accessing multiple devices at the same time and enjoying the network world. 4 Core Powerful CPU ACE Laptop with the Intel Celeron powerful processor  Intel(R)Pentium(R) CPU N3700 @ 1.60GHz 1601 and 256GB Storage built-in, so experience smooth multitasking and responsive performance, whether you're working on documents, streaming videos, or running applications. Besides, it equipped with a separate SSD and TF card expansion slot that supports 1TB M.2 SSD and 64GB TF expansion. Enhanced Productivity and Communication The integrated 0.3MP camera, four stereo speakers and built-in microphones allow you to participate in video , virtual meetings, or stay connected with friends and family through video calls with ease. FOQ: 1.About the Warranty Period and After-sales Service. ACE laptops come with one-year Warranty. If you have any problem with the products, please feel free to con-tact with us, we are always in here to provide help! 2.What is the characteristics of our computer? All ACE laptops are lightweight, thin, and portable. And the product configuration can meet daily work and online education. 3.How to con-tact us? Find your order and click ""Get Product Support"". We will assist you within 24 hours. 4.About the Warranty Period and After-sales Service. ACE laptops come with one-year Warranty.If you have any problem with the products, please feel free to con-tact with us, we are always in here to provide help! 5.What is the characteristics of our computer? All ACE laptops are lightweight, thin, and portable. And the product configuration can meet daily work and online education. 6.How to con-tact us? Find your order and click ""Get Product Support"". We will assist you within 24 hours. Thanks for your support on us!"
Macbook PRO Laptop A1278 13.3 Inch Core I5 2.5GHz 8GB RAM 500GB EN/AR Keyboard,"₦ 211,199",Available,4.7 out of 5,https://www.jumia.com.ng/renewed-macbook-pro-laptop-a1278-13.3-inch-core-i5-2.5ghz-8gb-ram-500gb-enar-keyboard-396858845.html,N/A,"MacBook Pro A1278 is a macOS laptop with a 13.30-inch display. It is powered by a Core i5 processor and it comes with 4GB of RAM. The MacBook Pro A1278 packs 500GB of HDD storage. Display 13.3-inch (diagonal) LED-backlit glossy widescreen display with support for millions of colors Supported resolutions: 1280 by 800 (native), 1152 by 720, 1024 by 640, and 800 by 500 pixels at 16:10 aspect ratio; 1024 by 768, 800 by 600, and 640 by 480 pixels at 4:3 aspect ratio; 1024 by 768, 800 by 600, and 640 by 480 pixels at 4:3 aspect ratio stretched; 720 by 480 pixels at 3:2 aspect ratio; 720 by 480 pixels at 3:2 aspect ratio stretched Processor 2.5GHz dual-core Intel Core i5 processor Memory 2.5GHz 4GB of 1600MHz DDR3 memory Configurable to 8GB Storage1 2.5GHz 500GB 5400-rpm hard drive Configurable options: 750GB 5400-rpm hard drive 128GB solid-state drive 256GB solid-state drive 512GB solid-state drive Battery and Power 4 Up to 7 hours wireless web Built-in 63.5-watt-hour lithium-polymer battery 60W MagSafe Power Adapter with cable management system; MagSafe power port Electrical and Operating Requirements Line voltage: 100V to 240V AC Frequency: 50Hz to 60Hz Operating temperature: 50° to 95° F (10° to 35° C) Storage temperature: –13° to 113° F (–24° to 45° C) Relative humidity: 0% to 90% noncondensing Operating altitude: tested up to 10,000 feet Maximum storage altitude: 15,000 feet Maximum shipping altitude: 35,000 feet Included Software OS X Lion Includes Mail, Address Book, iCal, the Mac App Store, iTunes, Safari, Time Machine, FaceTime, Photo Booth, Mission Control, Launchpad, AirDrop, Resume, Auto Save, Versions, Quick Look, Spotlight, QuickTime, and more. This product is inspected, tested and refubished as necessary to be fully functional according to the Jumia's Renewed standards. Batteries, where present, will have a minimum capacity of 80% relative to new. Accessories may not be original, but will be compatible and fully functional. The product may come in a generic box."
Hp CHROMEBOOK 11 INTEL CELERON 4Gb RAM 16GB WINS 10,"₦ 110,000",Available,3.7 out of 5,https://www.jumia.com.ng/hp-chromebook-11-intel-celeron-4gb-ram-16gb-wins-10-391877732.html,N/A,"Description The Chromebook 11 laptop is built to adjust to the way you work and relax, with battery to last all day. The 11-inch HD screen makes your entertainment look good. The slim, supremely flexible design lets you watch any way you want. This Chromebook laptop is equipped with an Intel Celeron processor for the perfect combination of performance, power consumption and value. The Chrome operating system was designed to be fast, easy to use and secure for every day use. Connect to the web with Wi-Fi 5 (2x2) and Bluetooth 5. Custom-tuned dual speakers are of exceptional setero quality. Operating system: Chrome Processor: Intel Celeron N4020 Display: 11.0-inch diagonal, HD (1366 x 768), micro-edge, BrightView Memory: 4 GB DDR3-2400 SDRAM (onboard) Internal storage: 16GB eMMC Graphics: Intel UHD Graphics 600 Battery life: Up to 12 hours and 30 minutes (mixed usage) Wireless: Realtek RTL8822CE 802.11a/b/g/n/ac (2x2) Wi-Fi and Bluetooth 5.0 combo Camera: Wide Vision 720p HD camera with integrated dual array digital microphones"
